Wall time,Step,Value
1551317566.0506053,445,4.5226826667785645
1551317566.5193517,451,4.522922992706299
1551317567.088829,460,4.549405097961426
1551317567.3611004,463,4.672685623168945
1551317567.4229352,464,4.513738632202148
1551317568.060231,473,4.567721366882324
1551317568.1230628,474,4.533103942871094
1551317569.1293728,489,4.511540412902832
1551317569.326844,491,4.404239654541016
1551317569.452508,493,4.498480796813965
1551317570.395985,507,4.5465474128723145
1551317570.7839472,512,4.574636936187744
1551317570.908614,514,4.435009479522705
1551317571.0961127,517,4.459921360015869
1551317571.6895256,525,4.478353500366211
1551317572.1313438,531,4.473874092102051
1551317572.257008,533,4.507917881011963
1551317572.4435093,536,4.419349193572998
1551317572.9252212,542,4.530411720275879
1551317573.2543411,547,4.469064712524414
1551317573.9863834,557,4.404163360595703
1551317574.1150396,559,4.424822807312012
1551317574.4331887,563,4.38626766204834
1551317574.8081858,569,4.350363254547119
1551317575.125338,573,4.402316570281982
1551317575.1881697,574,4.376871585845947
1551317575.5063186,579,4.428006172180176
1551317575.7167559,581,4.42294454574585
1551317575.779588,582,4.401989936828613
1551317575.9042547,584,4.4509711265563965
1551317576.0289214,586,4.379978179931641
1551317576.0917535,587,4.431075096130371
1551317576.474729,592,4.3348774909973145
1551317576.5385582,593,4.396334648132324
1551317577.213753,602,4.337663173675537
1551317577.6076992,608,4.28994607925415
1551317577.7323658,610,4.425773620605469
1551317578.1143446,615,4.356252670288086
1551317578.4285042,620,4.333101749420166
1551317578.6209898,622,4.384688854217529
1551317579.4607441,634,4.3166823387146
1551317580.018253,641,4.271203517913818
1551317580.0820827,642,4.359378814697266
1551317580.208744,644,4.397196292877197
1551317580.2735703,645,4.400455951690674
1551317580.3393943,646,4.311462879180908
1551317580.4022267,647,4.338644027709961
1551317580.5298848,649,4.184666633605957
1551317580.7871969,652,4.365980625152588
1551317581.039522,656,4.3184428215026855
1551317581.4224977,661,4.319665431976318
1551317581.6129885,664,4.303905487060547
1551317581.8812714,668,4.31207799911499
1551317582.1335962,671,4.3202290534973145
1551317582.1964283,672,4.248955726623535
1551317582.3300707,674,4.319781303405762
1551317582.3919053,675,4.1002936363220215
1551317582.5983536,678,4.2214579582214355
1551317582.6611853,679,4.265017509460449
1551317582.945425,682,4.32450008392334
1551317583.0072598,683,4.245861053466797
1551317583.320423,688,4.273871898651123
1551317583.3832548,689,4.326175212860107
1551317583.9277983,696,4.297163009643555
1551317584.1202834,699,4.274171352386475
1551317584.4414248,703,4.256601333618164
1551317584.6289232,706,4.251377105712891
1551317584.7525926,708,4.140955924987793
1551317584.8772593,710,4.352830410003662
1551317585.2313128,714,4.232330322265625
1551317585.4846349,718,4.169203281402588
1551317585.7369602,721,4.290136337280273
1551317585.7997923,722,4.267667293548584
1551317585.8616269,723,4.261073589324951
1551317586.3792424,730,4.212166786193848
1551317586.8240533,736,4.212340831756592
1551317586.9497178,738,4.212274551391602
1551317587.0125492,739,4.274044990539551
1551317587.3316958,743,4.285146713256836
1551317587.5830238,747,4.247165679931641
1551317587.7725165,750,4.124178886413574
1551317587.90217,751,4.184634208679199
1551317587.9650023,752,4.269662857055664
1551317588.090666,754,4.153440952301025
